Species,Gene
Usho,p3_t120017_Ust_horde_v2@UHOR_12016@2
Usho,p3_t120017_Ust_horde_v2@UHOR_03243@94
Usho,p3_t120017_Ust_horde_v2@UHOR_12678@202
Usho,p3_t120017_Ust_horde_v2@UHOR_12837@261
Usho,p3_t120017_Ust_horde_v2@UHOR_17005@698
Usho,p3_t120017_Ust_horde_v2@UHOR_08582@1270
Usho,p3_t120017_Ust_horde_v2@UHOR_07545@1281
Usho,p3_t120017_Ust_horde_v2@UHOR_07745@1433
Usho,p3_t120017_Ust_horde_v2@UHOR_03616@1435
Usho,p3_t120017_Ust_horde_v2@UHOR_08091@1853
Usho,p3_t120017_Ust_horde_v2@UHOR_08050@2535
Usho,p3_t120017_Ust_horde_v2@UHOR_06272@2828
Usho,p3_t120017_Ust_horde_v2@UHOR_06384@2915
Usho,p3_t120017_Ust_horde_v2@UHOR_06423@2948
Usho,p3_t120017_Ust_horde_v2@UHOR_14711@3078
Usho,p3_t120017_Ust_horde_v2@UHOR_15515@4620
Usho,p3_t120017_Ust_horde_v2@UHOR_15579@4757
Usho,p3_t120017_Ust_horde_v2@UHOR_15669@4933
Usho,p3_t120017_Ust_horde_v2@UHOR_02619@5307
Usho,p3_t120017_Ust_horde_v2@UHOR_02507@5494
Usho,p3_t120017_Ust_horde_v2@UHOR_02432@5659
Usho,p3_t120017_Ust_horde_v2@UHOR_00106@5882
Usho,p3_t120017_Ust_horde_v2@UHOR_00320@6042
Usho,p3_t120017_Ust_horde_v2@UHOR_00698@6308
Usho,p3_t120017_Ust_horde_v2@UHOR_01825@6720
Usho,p3_t120017_Ust_horde_v2@UHOR_01607@6746
Usbr,p3_t307758_Ust_bromi_v3@UBRO_07296@31119
Usbr,p3_t307758_Ust_bromi_v3@UBRO_21201@114379
Usbr,p3_t307758_Ust_bromi_v3@UBRO_21202@114380
Usbr,p3_t307758_Ust_bromi_v3@UBRO_21203@114381
Usbr,p3_t307758_Ust_bromi_v3@UBRO_21204@114382
Usbr,p3_t307758_Ust_bromi_v3@UBRO_21205@114383
Usbr,p3_t307758_Ust_bromi_v3@UBRO_21206@114384
Usbr,p3_t307758_Ust_bromi_v3@UBRO_21200@114385
Usma,p3_t237631_Ust_maydi_v2GB@UMAG_11429@798
Usma,p3_t237631_Ust_maydi_v2GB@UMAG_11612@306
Usma,p3_t237631_Ust_maydi_v2GB@UMAG_11263@1178
Usma,p3_t237631_Ust_maydi_v2GB@UMAG_10570@1235
Usma,p3_t237631_Ust_maydi_v2GB@UMAG_12055@1204
Usma,p3_t237631_Ust_maydi_v2GB@UMAG_11874@1255
Usma,p3_t237631_Ust_maydi_v2GB@UMAG_10287@3107
Usma,p3_t237631_Ust_maydi_v2GB@UMAG_11928@3236
Usma,p3_t237631_Ust_maydi_v2GB@UMAG_12058@3629
Usma,p3_t237631_Ust_maydi_v2GB@UMAG_11952@3693
Usma,p3_t237631_Ust_maydi_v2GB@UMAG_10379@3820
Usma,p3_t237631_Ust_maydi_v2GB@UMAG_03346@3696
Usma,p3_t237631_Ust_maydi_v2GB@UMAG_11081@4079
Usma,p3_t237631_Ust_maydi_v2GB@UMAG_10659@4257
Usma,p3_t237631_Ust_maydi_v2GB@UMAG_10578@4540
Usma,p3_t237631_Ust_maydi_v2GB@UMAG_10882@4750
Usma,p3_t237631_Ust_maydi_v2GB@UMAG_11754@4943
Usma,p3_t237631_Ust_maydi_v2GB@UMAG_10912@5073
Usma,p3_t237631_Ust_maydi_v2GB@UMAG_15015@4938
Usma,p3_t237631_Ust_maydi_v2GB@UMAG_10513@5227
Usma,p3_t237631_Ust_maydi_v2GB@UMAG_11979@5183
Usma,p3_t237631_Ust_maydi_v2GB@UMAG_11558@5345
Usma,p3_t237631_Ust_maydi_v2GB@UMAG_12018@5639
Usma,p3_t237631_Ust_maydi_v2GB@UMAG_12019@5587
