GeneIdOld,GeneIdOldShort,GeneIdNew
MEPE_00001,MEPE_00001,Mepe_0001
MEPE_00002,MEPE_00002,Mepe_0002
MEPE_00003,MEPE_00003,Mepe_0003
MEPE_00004,MEPE_00004,Mepe_0004
MEPE_00005,MEPE_00005,Mepe_0005
MEPE_00006,MEPE_00006,Mepe_0006
MEPE_00007,MEPE_00007,Mepe_0007
MEPE_00008,MEPE_00008,Mepe_0008
MEPE_00009,MEPE_00009,Mepe_0009
MEPE_00010,MEPE_00010,Mepe_0010
MEPE_00011,MEPE_00011,Mepe_0011
MEPE_00012,MEPE_00012,Mepe_0012
MEPE_00013,MEPE_00013,Mepe_0013
MEPE_00014,MEPE_00014,Mepe_0014
MEPE_00015,MEPE_00015,Mepe_0015
MEPE_00016,MEPE_00016,Mepe_0016
MEPE_00017,MEPE_00017,Mepe_0017
MEPE_00018,MEPE_00018,Mepe_0018
MEPE_00019,MEPE_00019,Mepe_0019
MEPE_00020,MEPE_00020,Mepe_0020
MEPE_00021,MEPE_00021,Mepe_0021
MEPE_00022,MEPE_00022,Mepe_0022
MEPE_00023,MEPE_00023,Mepe_0023
MEPE_00024,MEPE_00024,Mepe_0024
MEPE_00025,MEPE_00025,Mepe_0025
MEPE_00026,MEPE_00026,Mepe_0026
MEPE_00027,MEPE_00027,Mepe_0027
MEPE_00028,MEPE_00028,Mepe_0028
MEPE_00029,MEPE_00029,Mepe_0029
MEPE_00030,MEPE_00030,Mepe_0030
MEPE_00031,MEPE_00031,Mepe_0031
MEPE_00032,MEPE_00032,Mepe_0032
MEPE_00033,MEPE_00033,Mepe_0033
MEPE_00034,MEPE_00034,Mepe_0034
MEPE_00035,MEPE_00035,Mepe_0035
MEPE_00036,MEPE_00036,Mepe_0036
MEPE_00037,MEPE_00037,Mepe_0037
MEPE_00038,MEPE_00038,Mepe_0038
MEPE_00039,MEPE_00039,Mepe_0039
MEPE_00040,MEPE_00040,Mepe_0040
MEPE_00041,MEPE_00041,Mepe_0041
MEPE_00042,MEPE_00042,Mepe_0042
MEPE_00043,MEPE_00043,Mepe_0043
MEPE_00044,MEPE_00044,Mepe_0044
MEPE_00045,MEPE_00045,Mepe_0045
MEPE_00046,MEPE_00046,Mepe_0046
MEPE_00047,MEPE_00047,Mepe_0047
MEPE_00048,MEPE_00048,Mepe_0048
MEPE_00049,MEPE_00049,Mepe_0049
MEPE_00050,MEPE_00050,Mepe_0050
MEPE_00051,MEPE_00051,Mepe_0051
MEPE_00052,MEPE_00052,Mepe_0052
MEPE_00053,MEPE_00053,Mepe_0053
MEPE_00054,MEPE_00054,Mepe_0054
MEPE_00055,MEPE_00055,Mepe_0055
MEPE_00056,MEPE_00056,Mepe_0056
MEPE_00057,MEPE_00057,Mepe_0057
MEPE_00058,MEPE_00058,Mepe_0058
MEPE_00059,MEPE_00059,Mepe_0059
MEPE_00060,MEPE_00060,Mepe_0060
MEPE_00061,MEPE_00061,Mepe_0061
MEPE_00062,MEPE_00062,Mepe_0062
MEPE_00063,MEPE_00063,Mepe_0063
MEPE_00064,MEPE_00064,Mepe_0064
MEPE_00065,MEPE_00065,Mepe_0065
MEPE_00066,MEPE_00066,Mepe_0066
MEPE_00067,MEPE_00067,Mepe_0067
MEPE_00068,MEPE_00068,Mepe_0068
MEPE_00069,MEPE_00069,Mepe_0069
MEPE_00070,MEPE_00070,Mepe_0070
MEPE_00071,MEPE_00071,Mepe_0071
MEPE_00072,MEPE_00072,Mepe_0072
MEPE_00073,MEPE_00073,Mepe_0073
MEPE_00074,MEPE_00074,Mepe_0074
MEPE_00075,MEPE_00075,Mepe_0075
MEPE_00076,MEPE_00076,Mepe_0076
MEPE_00077,MEPE_00077,Mepe_0077
MEPE_00078,MEPE_00078,Mepe_0078
MEPE_00079,MEPE_00079,Mepe_0079
MEPE_00080,MEPE_00080,Mepe_0080
MEPE_00081,MEPE_00081,Mepe_0081
MEPE_00082,MEPE_00082,Mepe_0082
MEPE_00083,MEPE_00083,Mepe_0083
MEPE_00084,MEPE_00084,Mepe_0084
MEPE_00085,MEPE_00085,Mepe_0085
MEPE_00086,MEPE_00086,Mepe_0086
MEPE_00087,MEPE_00087,Mepe_0087
MEPE_00088,MEPE_00088,Mepe_0088
MEPE_00089,MEPE_00089,Mepe_0089
MEPE_00090,MEPE_00090,Mepe_0090
MEPE_00091,MEPE_00091,Mepe_0091
MEPE_00092,MEPE_00092,Mepe_0092
MEPE_00093,MEPE_00093,Mepe_0093
MEPE_00094,MEPE_00094,Mepe_0094
MEPE_00095,MEPE_00095,Mepe_0095
MEPE_00096,MEPE_00096,Mepe_0096
MEPE_00097,MEPE_00097,Mepe_0097
MEPE_00098,MEPE_00098,Mepe_0098
MEPE_00099,MEPE_00099,Mepe_0099
MEPE_00100,MEPE_00100,Mepe_0100
MEPE_00101,MEPE_00101,Mepe_0101
MEPE_00102,MEPE_00102,Mepe_0102
MEPE_00103,MEPE_00103,Mepe_0103
MEPE_00104,MEPE_00104,Mepe_0104
MEPE_00105,MEPE_00105,Mepe_0105
MEPE_00106,MEPE_00106,Mepe_0106
MEPE_00107,MEPE_00107,Mepe_0107
MEPE_00108,MEPE_00108,Mepe_0108
MEPE_00109,MEPE_00109,Mepe_0109
MEPE_00110,MEPE_00110,Mepe_0110
MEPE_00111,MEPE_00111,Mepe_0111
MEPE_00112,MEPE_00112,Mepe_0112
MEPE_00113,MEPE_00113,Mepe_0113
MEPE_00114,MEPE_00114,Mepe_0114
MEPE_00115,MEPE_00115,Mepe_0115
MEPE_00116,MEPE_00116,Mepe_0116
MEPE_00117,MEPE_00117,Mepe_0117
MEPE_00118,MEPE_00118,Mepe_0118
MEPE_00119,MEPE_00119,Mepe_0119
MEPE_00120,MEPE_00120,Mepe_0120
MEPE_00121,MEPE_00121,Mepe_0121
MEPE_00122,MEPE_00122,Mepe_0122
MEPE_00123,MEPE_00123,Mepe_0123
MEPE_00124,MEPE_00124,Mepe_0124
MEPE_00125,MEPE_00125,Mepe_0125
MEPE_00126,MEPE_00126,Mepe_0126
MEPE_00127,MEPE_00127,Mepe_0127
MEPE_00128,MEPE_00128,Mepe_0128
MEPE_00129,MEPE_00129,Mepe_0129
MEPE_00130,MEPE_00130,Mepe_0130
MEPE_00131,MEPE_00131,Mepe_0131
MEPE_00132,MEPE_00132,Mepe_0132
MEPE_00133,MEPE_00133,Mepe_0133
MEPE_00134,MEPE_00134,Mepe_0134
MEPE_00135,MEPE_00135,Mepe_0135
MEPE_00136,MEPE_00136,Mepe_0136
MEPE_00137,MEPE_00137,Mepe_0137
MEPE_00138,MEPE_00138,Mepe_0138
MEPE_00139,MEPE_00139,Mepe_0139
MEPE_00140,MEPE_00140,Mepe_0140
MEPE_00141,MEPE_00141,Mepe_0141
MEPE_00142,MEPE_00142,Mepe_0142
MEPE_00143,MEPE_00143,Mepe_0143
MEPE_00144,MEPE_00144,Mepe_0144
MEPE_00145,MEPE_00145,Mepe_0145
MEPE_00146,MEPE_00146,Mepe_0146
MEPE_00147,MEPE_00147,Mepe_0147
MEPE_00148,MEPE_00148,Mepe_0148
MEPE_00149,MEPE_00149,Mepe_0149
MEPE_00150,MEPE_00150,Mepe_0150
MEPE_00151,MEPE_00151,Mepe_0151
MEPE_00152,MEPE_00152,Mepe_0152
MEPE_00153,MEPE_00153,Mepe_0153
MEPE_00154,MEPE_00154,Mepe_0154
MEPE_00155,MEPE_00155,Mepe_0155
MEPE_00156,MEPE_00156,Mepe_0156
MEPE_00157,MEPE_00157,Mepe_0157
MEPE_00158,MEPE_00158,Mepe_0158
MEPE_00159,MEPE_00159,Mepe_0159
MEPE_00160,MEPE_00160,Mepe_0160
MEPE_00161,MEPE_00161,Mepe_0161
MEPE_00162,MEPE_00162,Mepe_0162
MEPE_00163,MEPE_00163,Mepe_0163
MEPE_00164,MEPE_00164,Mepe_0164
MEPE_00165,MEPE_00165,Mepe_0165
MEPE_00166,MEPE_00166,Mepe_0166
MEPE_00167,MEPE_00167,Mepe_0167
MEPE_00168,MEPE_00168,Mepe_0168
MEPE_00169,MEPE_00169,Mepe_0169
MEPE_00170,MEPE_00170,Mepe_0170
MEPE_00171,MEPE_00171,Mepe_0171
MEPE_00172,MEPE_00172,Mepe_0172
MEPE_00173,MEPE_00173,Mepe_0173
MEPE_00174,MEPE_00174,Mepe_0174
MEPE_00175,MEPE_00175,Mepe_0175
MEPE_00176,MEPE_00176,Mepe_0176
MEPE_00177,MEPE_00177,Mepe_0177
MEPE_00178,MEPE_00178,Mepe_0178
MEPE_00179,MEPE_00179,Mepe_0179
MEPE_00180,MEPE_00180,Mepe_0180
MEPE_00181,MEPE_00181,Mepe_0181
MEPE_00182,MEPE_00182,Mepe_0182
MEPE_00183,MEPE_00183,Mepe_0183
MEPE_00184,MEPE_00184,Mepe_0184
MEPE_00185,MEPE_00185,Mepe_0185
MEPE_00186,MEPE_00186,Mepe_0186
MEPE_00187,MEPE_00187,Mepe_0187
MEPE_00188,MEPE_00188,Mepe_0188
MEPE_00189,MEPE_00189,Mepe_0189
MEPE_00190,MEPE_00190,Mepe_0190
MEPE_00191,MEPE_00191,Mepe_0191
MEPE_00192,MEPE_00192,Mepe_0192
MEPE_00193,MEPE_00193,Mepe_0193
MEPE_00194,MEPE_00194,Mepe_0194
MEPE_00195,MEPE_00195,Mepe_0195
MEPE_00196,MEPE_00196,Mepe_0196
MEPE_00197,MEPE_00197,Mepe_0197
MEPE_00198,MEPE_00198,Mepe_0198
MEPE_00199,MEPE_00199,Mepe_0199
MEPE_00200,MEPE_00200,Mepe_0200
MEPE_00201,MEPE_00201,Mepe_0201
MEPE_00202,MEPE_00202,Mepe_0202
MEPE_00203,MEPE_00203,Mepe_0203
MEPE_00204,MEPE_00204,Mepe_0204
MEPE_00205,MEPE_00205,Mepe_0205
MEPE_00206,MEPE_00206,Mepe_0206
MEPE_00207,MEPE_00207,Mepe_0207
MEPE_00208,MEPE_00208,Mepe_0208
MEPE_00209,MEPE_00209,Mepe_0209
MEPE_00210,MEPE_00210,Mepe_0210
MEPE_00211,MEPE_00211,Mepe_0211
MEPE_00212,MEPE_00212,Mepe_0212
MEPE_00213,MEPE_00213,Mepe_0213
MEPE_00214,MEPE_00214,Mepe_0214
MEPE_00215,MEPE_00215,Mepe_0215
MEPE_00216,MEPE_00216,Mepe_0216
MEPE_00217,MEPE_00217,Mepe_0217
MEPE_00218,MEPE_00218,Mepe_0218
MEPE_00219,MEPE_00219,Mepe_0219
MEPE_00220,MEPE_00220,Mepe_0220
MEPE_00221,MEPE_00221,Mepe_0221
MEPE_00222,MEPE_00222,Mepe_0222
MEPE_00223,MEPE_00223,Mepe_0223
MEPE_00224,MEPE_00224,Mepe_0224
MEPE_00225,MEPE_00225,Mepe_0225
MEPE_00226,MEPE_00226,Mepe_0226
MEPE_00227,MEPE_00227,Mepe_0227
MEPE_00228,MEPE_00228,Mepe_0228
MEPE_00229,MEPE_00229,Mepe_0229
MEPE_00230,MEPE_00230,Mepe_0230
MEPE_00231,MEPE_00231,Mepe_0231
MEPE_00232,MEPE_00232,Mepe_0232
MEPE_00233,MEPE_00233,Mepe_0233
MEPE_00234,MEPE_00234,Mepe_0234
MEPE_00235,MEPE_00235,Mepe_0235
MEPE_00236,MEPE_00236,Mepe_0236
MEPE_00237,MEPE_00237,Mepe_0237
MEPE_00238,MEPE_00238,Mepe_0238
MEPE_00239,MEPE_00239,Mepe_0239
MEPE_00240,MEPE_00240,Mepe_0240
MEPE_00241,MEPE_00241,Mepe_0241
MEPE_00242,MEPE_00242,Mepe_0242
MEPE_00243,MEPE_00243,Mepe_0243
MEPE_00244,MEPE_00244,Mepe_0244
MEPE_00245,MEPE_00245,Mepe_0245
MEPE_00246,MEPE_00246,Mepe_0246
MEPE_00247,MEPE_00247,Mepe_0247
MEPE_00248,MEPE_00248,Mepe_0248
