GeneIdOld,GeneIdOldShort,GeneIdNew
srs_14936,srs_14936,Sprs_0001
srs_14937,srs_14937,Sprs_0002
srs_14938,srs_14938,Sprs_0003
srs_14939,srs_14939,Sprs_0004
srs_14940,srs_14940,Sprs_0005
srs_14941,srs_14941,Sprs_0006
srs_25001,srs_25001,Sprs_0007
srs_14942,srs_14942,Sprs_0008
srs_14943,srs_14943,Sprs_0009
srs_14944,srs_14944,Sprs_0010
srs_14945,srs_14945,Sprs_0011
srs_14946,srs_14946,Sprs_0012
srs_14947,srs_14947,Sprs_0013
srs_14948,srs_14948,Sprs_0014
srs_14949,srs_14949,Sprs_0015
srs_14950,srs_14950,Sprs_0016
srs_14951,srs_14951,Sprs_0017
srs_14952,srs_14952,Sprs_0018
srs_14953,srs_14953,Sprs_0019
srs_14954,srs_14954,Sprs_0020
srs_14955,srs_14955,Sprs_0021
srs_14956,srs_14956,Sprs_0022
srs_14957,srs_14957,Sprs_0023
srs_14958,srs_14958,Sprs_0024
srs_14959,srs_14959,Sprs_0025
srs_14960,srs_14960,Sprs_0026
srs_14961,srs_14961,Sprs_0027
srs_14962,srs_14962,Sprs_0028
srs_14963,srs_14963,Sprs_0029
srs_14964,srs_14964,Sprs_0030
srs_14965,srs_14965,Sprs_0031
srs_14966,srs_14966,Sprs_0032
srs_14967,srs_14967,Sprs_0033
srs_14968,srs_14968,Sprs_0034
srs_14969,srs_14969,Sprs_0035
srs_14970,srs_14970,Sprs_0036
srs_14971,srs_14971,Sprs_0037
srs_14972,srs_14972,Sprs_0038
srs_14973,srs_14973,Sprs_0039
srs_14974,srs_14974,Sprs_0040
srs_14975,srs_14975,Sprs_0041
srs_14976,srs_14976,Sprs_0042
srs_14977,srs_14977,Sprs_0043
srs_14978,srs_14978,Sprs_0044
srs_14979,srs_14979,Sprs_0045
srs_14980,srs_14980,Sprs_0046
srs_14981,srs_14981,Sprs_0047
srs_14982,srs_14982,Sprs_0048
srs_14983,srs_14983,Sprs_0049
srs_14984,srs_14984,Sprs_0050
srs_14985,srs_14985,Sprs_0051
srs_14986,srs_14986,Sprs_0052
srs_10533,srs_10533,Sprs_0053
srs_14987,srs_14987,Sprs_0054
srs_14988,srs_14988,Sprs_0055
srs_14989,srs_14989,Sprs_0056
srs_14990,srs_14990,Sprs_0057
srs_14991,srs_14991,Sprs_0058
srs_14992,srs_14992,Sprs_0059
srs_14993,srs_14993,Sprs_0060
srs_25002,srs_25002,Sprs_0061
srs_21002,srs_21002,Sprs_0062
srs_21003,srs_21003,Sprs_0063
srs_16302,srs_16302,Sprs_0064
srs_16300,srs_16300,Sprs_0065
srs_16299,srs_16299,Sprs_0066
srs_16298,srs_16298,Sprs_0067
srs_16297,srs_16297,Sprs_0068
srs_16296,srs_16296,Sprs_0069
srs_16295,srs_16295,Sprs_0070
srs_16294,srs_16294,Sprs_0071
srs_16293,srs_16293,Sprs_0072
srs_16292,srs_16292,Sprs_0073
srs_16291,srs_16291,Sprs_0074
srs_16290,srs_16290,Sprs_0075
srs_16289,srs_16289,Sprs_0076
srs_16288,srs_16288,Sprs_0077
srs_16287,srs_16287,Sprs_0078
srs_16286,srs_16286,Sprs_0079
srs_16285,srs_16285,Sprs_0080
srs_16284,srs_16284,Sprs_0081
srs_16283,srs_16283,Sprs_0082
srs_16282,srs_16282,Sprs_0083
srs_16281,srs_16281,Sprs_0084
srs_16280,srs_16280,Sprs_0085
