GeneIdOld,GeneIdOldShort,GeneIdNew
p3_t72740_Spo_reili_v2@sr00846.2@1,sr00846.2,Sprz_0001
p3_t72740_Spo_reili_v2@sr00845@2,sr00845,Sprz_0002
p3_t72740_Spo_reili_v2@sr00843@3,sr00843,Sprz_0003
p3_t72740_Spo_reili_v2@sr00842.2@4,sr00842.2,Sprz_0004
p3_t72740_Spo_reili_v2@sr00841.2@5,sr00841.2,Sprz_0005
p3_t72740_Spo_reili_v2@sr00840.2@6,sr00840.2,Sprz_0006
p3_t72740_Spo_reili_v2@sr00838.2@7,sr00838.2,Sprz_0007
p3_t72740_Spo_reili_v2@sr20011@8,sr20011,Sprz_0008
p3_t72740_Spo_reili_v2@sr06455@9,sr06455,Sprz_0009
p3_t72740_Spo_reili_v2@sr06454@10,sr06454,Sprz_0010
p3_t72740_Spo_reili_v2@sr06453@11,sr06453,Sprz_0011
p3_t72740_Spo_reili_v2@sr06452@12,sr06452,Sprz_0012
p3_t72740_Spo_reili_v2@sr06451@13,sr06451,Sprz_0013
p3_t72740_Spo_reili_v2@sr06448@14,sr06448,Sprz_0014
p3_t72740_Spo_reili_v2@sr06446@15,sr06446,Sprz_0015
p3_t72740_Spo_reili_v2@sr06445@16,sr06445,Sprz_0016
p3_t72740_Spo_reili_v2@sr20010@17,sr20010,Sprz_0017
p3_t72740_Spo_reili_v2@sr06444@18,sr06444,Sprz_0018
p3_t72740_Spo_reili_v2@sr06443@19,sr06443,Sprz_0019
p3_t72740_Spo_reili_v2@sr06441@20,sr06441,Sprz_0020
p3_t72740_Spo_reili_v2@sr06440@21,sr06440,Sprz_0021
p3_t72740_Spo_reili_v2@sr06439@22,sr06439,Sprz_0022
p3_t72740_Spo_reili_v2@sr06437@23,sr06437,Sprz_0023
p3_t72740_Spo_reili_v2@sr06435@24,sr06435,Sprz_0024
p3_t72740_Spo_reili_v2@sr06434.2@25,sr06434.2,Sprz_0025
p3_t72740_Spo_reili_v2@sr06433@26,sr06433,Sprz_0026
p3_t72740_Spo_reili_v2@sr06432@27,sr06432,Sprz_0027
p3_t72740_Spo_reili_v2@sr06431.2@28,sr06431.2,Sprz_0028
p3_t72740_Spo_reili_v2@sr06429@29,sr06429,Sprz_0029
p3_t72740_Spo_reili_v2@sr06428@30,sr06428,Sprz_0030
p3_t72740_Spo_reili_v2@sr06427@31,sr06427,Sprz_0031
p3_t72740_Spo_reili_v2@sr06426.2@32,sr06426.2,Sprz_0032
p3_t72740_Spo_reili_v2@sr06425@33,sr06425,Sprz_0033
p3_t72740_Spo_reili_v2@sr06424@34,sr06424,Sprz_0034
p3_t72740_Spo_reili_v2@sr06423@35,sr06423,Sprz_0035
p3_t72740_Spo_reili_v2@sr06422@36,sr06422,Sprz_0036
p3_t72740_Spo_reili_v2@sr06421@37,sr06421,Sprz_0037
p3_t72740_Spo_reili_v2@sr06420@38,sr06420,Sprz_0038
p3_t72740_Spo_reili_v2@sr06418@39,sr06418,Sprz_0039
p3_t72740_Spo_reili_v2@sr06417@40,sr06417,Sprz_0040
p3_t72740_Spo_reili_v2@sr06414@41,sr06414,Sprz_0041
p3_t72740_Spo_reili_v2@sr06413@42,sr06413,Sprz_0042
p3_t72740_Spo_reili_v2@sr06412@43,sr06412,Sprz_0043
p3_t72740_Spo_reili_v2@sr06410@44,sr06410,Sprz_0044
p3_t72740_Spo_reili_v2@sr06409@45,sr06409,Sprz_0045
p3_t72740_Spo_reili_v2@sr06408@46,sr06408,Sprz_0046
p3_t72740_Spo_reili_v2@sr06407@47,sr06407,Sprz_0047
p3_t72740_Spo_reili_v2@sr06406@48,sr06406,Sprz_0048
p3_t72740_Spo_reili_v2@sr06404@49,sr06404,Sprz_0049
p3_t72740_Spo_reili_v2@sr06403.2@50,sr06403.2,Sprz_0050
p3_t72740_Spo_reili_v2@sr06401@51,sr06401,Sprz_0051
p3_t72740_Spo_reili_v2@sr06400@52,sr06400,Sprz_0052
p3_t72740_Spo_reili_v2@sr11368@53,sr11368,Sprz_0053
p3_t72740_Spo_reili_v2@sr11369@54,sr11369,Sprz_0054
p3_t72740_Spo_reili_v2@sr11370@55,sr11370,Sprz_0055
p3_t72740_Spo_reili_v2@sr11371@56,sr11371,Sprz_0056
p3_t72740_Spo_reili_v2@sr11372@57,sr11372,Sprz_0057
p3_t72740_Spo_reili_v2@sr11373@58,sr11373,Sprz_0058
p3_t72740_Spo_reili_v2@sr11374@59,sr11374,Sprz_0059
p3_t72740_Spo_reili_v2@sr11375@60,sr11375,Sprz_0060
p3_t72740_Spo_reili_v2@sr11376@61,sr11376,Sprz_0061
p3_t72740_Spo_reili_v2@sr11377@62,sr11377,Sprz_0062
p3_t72740_Spo_reili_v2@sr11378@63,sr11378,Sprz_0063
p3_t72740_Spo_reili_v2@sr11379@64,sr11379,Sprz_0064
p3_t72740_Spo_reili_v2@sr11380@65,sr11380,Sprz_0065
p3_t72740_Spo_reili_v2@sr11381@66,sr11381,Sprz_0066
p3_t72740_Spo_reili_v2@sr11382@67,sr11382,Sprz_0067
p3_t72740_Spo_reili_v2@sr11383@68,sr11383,Sprz_0068
p3_t72740_Spo_reili_v2@sr11384@69,sr11384,Sprz_0069
p3_t72740_Spo_reili_v2@sr11385@70,sr11385,Sprz_0070
p3_t72740_Spo_reili_v2@sr11386@71,sr11386,Sprz_0071
p3_t72740_Spo_reili_v2@sr11387@72,sr11387,Sprz_0072
p3_t72740_Spo_reili_v2@sr11388@73,sr11388,Sprz_0073
p3_t72740_Spo_reili_v2@sr11389@74,sr11389,Sprz_0074
p3_t72740_Spo_reili_v2@sr11390@75,sr11390,Sprz_0075
p3_t72740_Spo_reili_v2@sr11391@76,sr11391,Sprz_0076
p3_t72740_Spo_reili_v2@sr11392@77,sr11392,Sprz_0077
p3_t72740_Spo_reili_v2@sr11393@78,sr11393,Sprz_0078
p3_t72740_Spo_reili_v2@sr11394@79,sr11394,Sprz_0079
p3_t72740_Spo_reili_v2@sr11395@80,sr11395,Sprz_0080
p3_t72740_Spo_reili_v2@sr11396@81,sr11396,Sprz_0081
p3_t72740_Spo_reili_v2@sr11397@82,sr11397,Sprz_0082
p3_t72740_Spo_reili_v2@sr11398@83,sr11398,Sprz_0083
p3_t72740_Spo_reili_v2@sr11399@84,sr11399,Sprz_0084
p3_t72740_Spo_reili_v2@sr11400@85,sr11400,Sprz_0085
p3_t72740_Spo_reili_v2@sr11401@86,sr11401,Sprz_0086
p3_t72740_Spo_reili_v2@sr11402@87,sr11402,Sprz_0087
p3_t72740_Spo_reili_v2@sr11403@88,sr11403,Sprz_0088
