GeneIdOld,GeneIdOldShort,GeneIdNew
p3_t307758_Ust_bromi_v3@UBRO_20012@53399,UBRO_20012,Usbr_0001
p3_t307758_Ust_bromi_v3@UBRO_01241@53395,UBRO_01241,Usbr_0002
p3_t307758_Ust_bromi_v3@UBRO_01240@53394,UBRO_01240,Usbr_0003
p3_t307758_Ust_bromi_v3@UBRO_01236@53393,UBRO_01236,Usbr_0004
p3_t307758_Ust_bromi_v3@UBRO_01235@53392,UBRO_01235,Usbr_0005
p3_t307758_Ust_bromi_v3@UBRO_01234@53391,UBRO_01234,Usbr_0006
p3_t307758_Ust_bromi_v3@UBRO_01233@53390,UBRO_01233,Usbr_0007
p3_t307758_Ust_bromi_v3@UBRO_01232@53389,UBRO_01232,Usbr_0008
p3_t307758_Ust_bromi_v3@UBRO_01231@53388,UBRO_01231,Usbr_0009
p3_t307758_Ust_bromi_v3@UBRO_01230@53387,UBRO_01230,Usbr_0010
p3_t307758_Ust_bromi_v3@UBRO_01229@53386,UBRO_01229,Usbr_0011
p3_t307758_Ust_bromi_v3@UBRO_01228@53385,UBRO_01228,Usbr_0012
p3_t307758_Ust_bromi_v3@UBRO_20398@80839,UBRO_20398,Usbr_0013
p3_t307758_Ust_bromi_v3@UBRO_01227@53384,UBRO_01227,Usbr_0014
p3_t307758_Ust_bromi_v3@UBRO_01226@80840,UBRO_01226,Usbr_0015
p3_t307758_Ust_bromi_v3@UBRO_01225@53383,UBRO_01225,Usbr_0016
p3_t307758_Ust_bromi_v3@UBRO_01223@53382,UBRO_01223,Usbr_0017
p3_t307758_Ust_bromi_v3@UBRO_01220@53381,UBRO_01220,Usbr_0018
p3_t307758_Ust_bromi_v3@UBRO_01219@53380,UBRO_01219,Usbr_0019
p3_t307758_Ust_bromi_v3@UBRO_01218@53379,UBRO_01218,Usbr_0020
p3_t307758_Ust_bromi_v3@UBRO_01217@53378,UBRO_01217,Usbr_0021
p3_t307758_Ust_bromi_v3@UBRO_01216@53377,UBRO_01216,Usbr_0022
p3_t307758_Ust_bromi_v3@UBRO_02506@53398,UBRO_02506,Usbr_0023
p3_t307758_Ust_bromi_v3@UBRO_02505@53397,UBRO_02505,Usbr_0024
p3_t307758_Ust_bromi_v3@UBRO_02504@53396,UBRO_02504,Usbr_0025
p3_t307758_Ust_bromi_v3@UBRO_01212@53376,UBRO_01212,Usbr_0026
p3_t307758_Ust_bromi_v3@UBRO_01211@80845,UBRO_01211,Usbr_0027
p3_t307758_Ust_bromi_v3@UBRO_01210@53374,UBRO_01210,Usbr_0028
p3_t307758_Ust_bromi_v3@UBRO_01209@53373,UBRO_01209,Usbr_0029
p3_t307758_Ust_bromi_v3@UBRO_01208@80841,UBRO_01208,Usbr_0030
p3_t307758_Ust_bromi_v3@UBRO_01205@53371,UBRO_01205,Usbr_0031
p3_t307758_Ust_bromi_v3@UBRO_20399@80842,UBRO_20399,Usbr_0032
