GeneIdOld,GeneIdOldShort,GeneIdNew
p3_t120017_Ust_horde_v2@UHOR_12009@1,UHOR_12009,Usho_0001
p3_t120017_Ust_horde_v2@UHOR_12016@2,UHOR_12016,Usho_0002
p3_t120017_Ust_horde_v2@UHOR_12025@3,UHOR_12025,Usho_0003
p3_t120017_Ust_horde_v2@UHOR_12026@4,UHOR_12026,Usho_0004
p3_t120017_Ust_horde_v2@UHOR_12027@5,UHOR_12027,Usho_0005
p3_t120017_Ust_horde_v2@UHOR_12028@6,UHOR_12028,Usho_0006
p3_t120017_Ust_horde_v2@UHOR_12029@7,UHOR_12029,Usho_0007
p3_t120017_Ust_horde_v2@UHOR_12031@8,UHOR_12031,Usho_0008
p3_t120017_Ust_horde_v2@UHOR_12032@9,UHOR_12032,Usho_0009
p3_t120017_Ust_horde_v2@UHOR_12033@10,UHOR_12033,Usho_0010
p3_t120017_Ust_horde_v2@UHOR_12035@11,UHOR_12035,Usho_0011
p3_t120017_Ust_horde_v2@UHOR_00879@12,UHOR_00879,Usho_0012
p3_t120017_Ust_horde_v2@UHOR_00858@13,UHOR_00858,Usho_0013
p3_t120017_Ust_horde_v2@UHOR_12050@14,UHOR_12050,Usho_0014
p3_t120017_Ust_horde_v2@UHOR_08876@15,UHOR_08876,Usho_0015
p3_t120017_Ust_horde_v2@UHOR_12077@16,UHOR_12077,Usho_0016
p3_t120017_Ust_horde_v2@UHOR_12082@17,UHOR_12082,Usho_0017
p3_t120017_Ust_horde_v2@UHOR_12083@18,UHOR_12083,Usho_0018
p3_t120017_Ust_horde_v2@UHOR_12088@19,UHOR_12088,Usho_0019
p3_t120017_Ust_horde_v2@UHOR_03911@20,UHOR_03911,Usho_0020
p3_t120017_Ust_horde_v2@UHOR_12112@21,UHOR_12112,Usho_0021
p3_t120017_Ust_horde_v2@UHOR_04030@22,UHOR_04030,Usho_0022
p3_t120017_Ust_horde_v2@UHOR_04032@23,UHOR_04032,Usho_0023
p3_t120017_Ust_horde_v2@UHOR_04033@24,UHOR_04033,Usho_0024
