Usho_0001	len=154	ExpAA=21.23	First60=4.72	PredHel=1	Topology=i56-78o
Usho_0003	len=99	ExpAA=1.99	First60=0.04	PredHel=0	Topology=o
Usho_0004	len=430	ExpAA=0.23	First60=0.00	PredHel=0	Topology=o
Usho_0005	len=148	ExpAA=0.05	First60=0.00	PredHel=0	Topology=o
Usho_0006	len=444	ExpAA=0.30	First60=0.27	PredHel=0	Topology=o
Usho_0007	len=432	ExpAA=0.31	First60=0.00	PredHel=0	Topology=o
Usho_0008	len=161	ExpAA=0.00	First60=0.00	PredHel=0	Topology=o
Usho_0009	len=417	ExpAA=0.01	First60=0.01	PredHel=0	Topology=o
Usho_0010	len=346	ExpAA=0.00	First60=0.00	PredHel=0	Topology=o
Usho_0011	len=111	ExpAA=0.00	First60=0.00	PredHel=0	Topology=o
Usho_0012	len=826	ExpAA=0.02	First60=0.00	PredHel=0	Topology=o
Usho_0013	len=361	ExpAA=0.11	First60=0.08	PredHel=0	Topology=o
Usho_0014	len=550	ExpAA=0.00	First60=0.00	PredHel=0	Topology=o
Usho_0015	len=706	ExpAA=0.12	First60=0.00	PredHel=0	Topology=o
Usho_0016	len=192	ExpAA=0.00	First60=0.00	PredHel=0	Topology=o
Usho_0017	len=108	ExpAA=20.92	First60=20.82	PredHel=0	Topology=o
Usho_0018	len=117	ExpAA=0.71	First60=0.70	PredHel=0	Topology=o
Usho_0019	len=1686	ExpAA=0.11	First60=0.00	PredHel=0	Topology=o
Usho_0020	len=156	ExpAA=0.07	First60=0.05	PredHel=0	Topology=o
Usho_0021	len=156	ExpAA=0.00	First60=0.00	PredHel=0	Topology=o
Usho_0022	len=1722	ExpAA=0.02	First60=0.00	PredHel=0	Topology=o
Usho_0023	len=516	ExpAA=0.00	First60=0.00	PredHel=0	Topology=o
Usho_0024	len=280	ExpAA=0.00	First60=0.00	PredHel=0	Topology=o
Usho_0025	len=436	ExpAA=0.46	First60=0.00	PredHel=0	Topology=o
Usho_0026	len=485	ExpAA=0.00	First60=0.00	PredHel=0	Topology=o
Usho_0027	len=1036	ExpAA=10.82	First60=0.00	PredHel=0	Topology=o
Usho_0028	len=552	ExpAA=0.00	First60=0.00	PredHel=0	Topology=o
Usho_0029	len=143	ExpAA=0.02	First60=0.02	PredHel=0	Topology=o
Usho_0030	len=784	ExpAA=0.00	First60=0.00	PredHel=0	Topology=o
Usho_0031	len=172	ExpAA=0.02	First60=0.02	PredHel=0	Topology=o
Usho_0032	len=210	ExpAA=0.01	First60=0.01	PredHel=0	Topology=o
Usho_0033	len=802	ExpAA=0.00	First60=0.00	PredHel=0	Topology=o
Usho_0034	len=624	ExpAA=0.00	First60=0.00	PredHel=0	Topology=o
Usho_0035	len=1063	ExpAA=0.00	First60=0.00	PredHel=0	Topology=o
Usho_0036	len=223	ExpAA=0.04	First60=0.04	PredHel=0	Topology=o
Usho_0037	len=434	ExpAA=0.00	First60=0.00	PredHel=0	Topology=o
Usho_0038	len=208	ExpAA=0.00	First60=0.00	PredHel=0	Topology=o
