Usma_0001	len=209	ExpAA=18.77	First60=15.39	PredHel=1	Topology=i45-67o
Usma_0002	len=464	ExpAA=0.59	First60=0.00	PredHel=0	Topology=o
Usma_0003	len=399	ExpAA=0.02	First60=0.02	PredHel=0	Topology=o
Usma_0004	len=507	ExpAA=260.65	First60=8.24	PredHel=12	Topology=i54-71o93-115i120-142o147-169i182-204o214-236i285-307o322-344i349-368o372-394i407-429o444-466i
Usma_0005	len=332	ExpAA=4.71	First60=0.01	PredHel=0	Topology=o
Usma_0006	len=550	ExpAA=0.02	First60=0.01	PredHel=0	Topology=o
Usma_0007	len=651	ExpAA=174.00	First60=0.00	PredHel=8	Topology=o184-206i219-236o246-265i307-329o355-377i384-406o411-433i445-467o
Usma_0008	len=354	ExpAA=0.11	First60=0.00	PredHel=0	Topology=o
Usma_0009	len=534	ExpAA=21.66	First60=16.87	PredHel=0	Topology=o
Usma_0010	len=769	ExpAA=125.03	First60=0.00	PredHel=5	Topology=o505-527i534-556o566-585i592-614o634-656i
Usma_0011	len=284	ExpAA=89.89	First60=21.46	PredHel=4	Topology=i28-49o105-127i199-221o236-258i
Usma_0012	len=388	ExpAA=0.20	First60=0.00	PredHel=0	Topology=o
Usma_0013	len=197	ExpAA=0.00	First60=0.00	PredHel=0	Topology=o
Usma_0014	len=605	ExpAA=5.46	First60=4.95	PredHel=0	Topology=o
Usma_0015	len=561	ExpAA=0.00	First60=0.00	PredHel=0	Topology=o
Usma_0016	len=209	ExpAA=0.00	First60=0.00	PredHel=0	Topology=o
Usma_0017	len=294	ExpAA=13.07	First60=6.91	PredHel=0	Topology=o
Usma_0018	len=477	ExpAA=22.50	First60=0.00	PredHel=1	Topology=i98-120o
Usma_0019	len=529	ExpAA=231.88	First60=0.00	PredHel=10	Topology=i84-106o130-152i159-181o185-204i230-252o272-289i328-350o365-387i425-447o462-484i
Usma_0020	len=296	ExpAA=114.78	First60=43.26	PredHel=4	Topology=o10-32i37-59o84-103i124-146o
