Sprs_0001	len=368	ExpAA=88.22	First60=0.00	PredHel=4	Topology=i85-107o117-134i190-212o250-272i
Sprs_0002	len=801	ExpAA=14.61	First60=14.61	PredHel=1	Topology=i5-22o
Sprs_0003	len=1445	ExpAA=172.30	First60=19.16	PredHel=5	Topology=i12-29o797-819i850-872o904-926i960-982o
Sprs_0004	len=359	ExpAA=0.00	First60=0.00	PredHel=0	Topology=o
Sprs_0005	len=1114	ExpAA=0.00	First60=0.00	PredHel=0	Topology=o
Sprs_0006	len=252	ExpAA=20.93	First60=20.93	PredHel=1	Topology=i7-29o
Sprs_0007	len=307	ExpAA=6.38	First60=0.53	PredHel=0	Topology=o
Sprs_0008	len=217	ExpAA=14.82	First60=14.74	PredHel=0	Topology=o
Sprs_0009	len=261	ExpAA=0.01	First60=0.00	PredHel=0	Topology=o
Sprs_0010	len=160	ExpAA=18.98	First60=18.80	PredHel=1	Topology=o5-22i
Sprs_0011	len=291	ExpAA=0.19	First60=0.19	PredHel=0	Topology=o
Sprs_0012	len=163	ExpAA=20.61	First60=20.60	PredHel=1	Topology=i7-29o
Sprs_0013	len=370	ExpAA=13.20	First60=13.20	PredHel=0	Topology=o
Sprs_0014	len=315	ExpAA=4.55	First60=4.29	PredHel=0	Topology=o
Sprs_0015	len=607	ExpAA=45.68	First60=7.23	PredHel=2	Topology=o54-76i96-118o
Sprs_0016	len=346	ExpAA=0.00	First60=0.00	PredHel=0	Topology=o
Sprs_0017	len=636	ExpAA=1.78	First60=1.37	PredHel=0	Topology=o
Sprs_0018	len=1190	ExpAA=148.50	First60=21.36	PredHel=7	Topology=i32-52o67-89i102-119o163-185i198-220o240-261i274-293o
Sprs_0019	len=1013	ExpAA=0.03	First60=0.00	PredHel=0	Topology=o
Sprs_0020	len=1360	ExpAA=0.05	First60=0.00	PredHel=0	Topology=o
Sprs_0021	len=515	ExpAA=8.50	First60=0.00	PredHel=0	Topology=o
Sprs_0022	len=216	ExpAA=0.09	First60=0.07	PredHel=0	Topology=o
Sprs_0023	len=600	ExpAA=0.00	First60=0.00	PredHel=0	Topology=o
Sprs_0024	len=320	ExpAA=0.02	First60=0.00	PredHel=0	Topology=o
Sprs_0025	len=544	ExpAA=0.05	First60=0.00	PredHel=0	Topology=o
Sprs_0026	len=312	ExpAA=0.00	First60=0.00	PredHel=0	Topology=o
Sprs_0027	len=412	ExpAA=0.07	First60=0.00	PredHel=0	Topology=o
Sprs_0028	len=755	ExpAA=0.01	First60=0.00	PredHel=0	Topology=o
Sprs_0029	len=371	ExpAA=0.17	First60=0.00	PredHel=0	Topology=o
Sprs_0030	len=525	ExpAA=0.01	First60=0.00	PredHel=0	Topology=o
Sprs_0031	len=1547	ExpAA=298.98	First60=0.00	PredHel=14	Topology=o541-563i576-598o627-646i653-675o685-703i710-729o793-810i1215-1237o1252-1274i1294-1316o1331-1353i1360-1382o1392-1411i1488-1510o
Sprs_0032	len=350	ExpAA=5.08	First60=5.07	PredHel=0	Topology=o
Sprs_0033	len=218	ExpAA=34.91	First60=0.00	PredHel=2	Topology=i117-139o143-162i
Sprs_0034	len=847	ExpAA=0.05	First60=0.00	PredHel=0	Topology=o
Sprs_0035	len=342	ExpAA=4.03	First60=2.90	PredHel=0	Topology=o
Sprs_0036	len=355	ExpAA=0.01	First60=0.00	PredHel=0	Topology=o
Sprs_0037	len=239	ExpAA=0.69	First60=0.64	PredHel=0	Topology=o
Sprs_0038	len=1090	ExpAA=0.19	First60=0.18	PredHel=0	Topology=o
Sprs_0039	len=395	ExpAA=0.01	First60=0.00	PredHel=0	Topology=o
Sprs_0040	len=541	ExpAA=20.34	First60=4.18	PredHel=1	Topology=i55-77o
Sprs_0041	len=1324	ExpAA=234.87	First60=0.00	PredHel=10	Topology=i126-148o338-360i556-578o593-615i1082-1104o1114-1133i1153-1175o1198-1217i1224-1246o1266-1288i
Sprs_0042	len=212	ExpAA=0.01	First60=0.00	PredHel=0	Topology=o
Sprs_0043	len=600	ExpAA=0.02	First60=0.00	PredHel=0	Topology=o
Sprs_0044	len=2220	ExpAA=0.07	First60=0.00	PredHel=0	Topology=o
Sprs_0045	len=952	ExpAA=0.03	First60=0.00	PredHel=0	Topology=o
Sprs_0046	len=215	ExpAA=0.24	First60=0.24	PredHel=0	Topology=o
Sprs_0047	len=289	ExpAA=20.92	First60=0.00	PredHel=1	Topology=i259-281o
Sprs_0048	len=501	ExpAA=38.64	First60=8.71	PredHel=1	Topology=i49-71o
Sprs_0049	len=388	ExpAA=0.03	First60=0.00	PredHel=0	Topology=o
Sprs_0050	len=200	ExpAA=0.00	First60=0.00	PredHel=0	Topology=o
Sprs_0051	len=1000	ExpAA=0.11	First60=0.11	PredHel=0	Topology=o
