GeneIdOld,GeneIdOldShort,GeneIdNew
p3_t237631_Ust_maydi_v2GB@UMAG_06480@265,UMAG_06480,Usma_0001
p3_t237631_Ust_maydi_v2GB@UMAG_10944@519,UMAG_10944,Usma_0002
p3_t237631_Ust_maydi_v2GB@UMAG_10945@42,UMAG_10945,Usma_0003
p3_t237631_Ust_maydi_v2GB@UMAG_10946@734,UMAG_10946,Usma_0004
p3_t237631_Ust_maydi_v2GB@UMAG_00001@225,UMAG_00001,Usma_0005
p3_t237631_Ust_maydi_v2GB@UMAG_00002@388,UMAG_00002,Usma_0006
p3_t237631_Ust_maydi_v2GB@UMAG_00003@678,UMAG_00003,Usma_0007
p3_t237631_Ust_maydi_v2GB@UMAG_12014@640,UMAG_12014,Usma_0008
p3_t237631_Ust_maydi_v2GB@UMAG_00005@522,UMAG_00005,Usma_0009
p3_t237631_Ust_maydi_v2GB@UMAG_00006@543,UMAG_00006,Usma_0010
p3_t237631_Ust_maydi_v2GB@UMAG_00007@171,UMAG_00007,Usma_0011
p3_t237631_Ust_maydi_v2GB@UMAG_00008@385,UMAG_00008,Usma_0012
p3_t237631_Ust_maydi_v2GB@UMAG_00009@325,UMAG_00009,Usma_0013
p3_t237631_Ust_maydi_v2GB@UMAG_12107@766,UMAG_12107,Usma_0014
p3_t237631_Ust_maydi_v2GB@UMAG_00011@603,UMAG_00011,Usma_0015
p3_t237631_Ust_maydi_v2GB@UMAG_00012@290,UMAG_00012,Usma_0016
p3_t237631_Ust_maydi_v2GB@UMAG_00013@224,UMAG_00013,Usma_0017
p3_t237631_Ust_maydi_v2GB@UMAG_15048@53,UMAG_15048,Usma_0018
p3_t237631_Ust_maydi_v2GB@UMAG_12080@102,UMAG_12080,Usma_0019
p3_t237631_Ust_maydi_v2GB@UMAG_00017@299,UMAG_00017,Usma_0020
p3_t237631_Ust_maydi_v2GB@UMAG_10000@641,UMAG_10000,Usma_0021
p3_t237631_Ust_maydi_v2GB@UMAG_10001@751,UMAG_10001,Usma_0022
p3_t237631_Ust_maydi_v2GB@UMAG_10002@185,UMAG_10002,Usma_0023
p3_t237631_Ust_maydi_v2GB@UMAG_00020@544,UMAG_00020,Usma_0024
p3_t237631_Ust_maydi_v2GB@UMAG_10003@181,UMAG_10003,Usma_0025
p3_t237631_Ust_maydi_v2GB@UMAG_10004@302,UMAG_10004,Usma_0026
p3_t237631_Ust_maydi_v2GB@UMAG_12081@121,UMAG_12081,Usma_0027
p3_t237631_Ust_maydi_v2GB@UMAG_10005@886,UMAG_10005,Usma_0028
p3_t237631_Ust_maydi_v2GB@UMAG_10006@49,UMAG_10006,Usma_0029
p3_t237631_Ust_maydi_v2GB@UMAG_10007@389,UMAG_10007,Usma_0030
p3_t237631_Ust_maydi_v2GB@UMAG_10008@483,UMAG_10008,Usma_0031
p3_t237631_Ust_maydi_v2GB@UMAG_00025@236,UMAG_00025,Usma_0032
p3_t237631_Ust_maydi_v2GB@UMAG_00026@476,UMAG_00026,Usma_0033
p3_t237631_Ust_maydi_v2GB@UMAG_00027@645,UMAG_00027,Usma_0034
p3_t237631_Ust_maydi_v2GB@UMAG_00028@873,UMAG_00028,Usma_0035
p3_t237631_Ust_maydi_v2GB@UMAG_00029@842,UMAG_00029,Usma_0036
p3_t237631_Ust_maydi_v2GB@UMAG_00030@153,UMAG_00030,Usma_0037
p3_t237631_Ust_maydi_v2GB@UMAG_00031@561,UMAG_00031,Usma_0038
p3_t237631_Ust_maydi_v2GB@UMAG_00032@868,UMAG_00032,Usma_0039
p3_t237631_Ust_maydi_v2GB@UMAG_10009@156,UMAG_10009,Usma_0040
p3_t237631_Ust_maydi_v2GB@UMAG_00034@786,UMAG_00034,Usma_0041
p3_t237631_Ust_maydi_v2GB@UMAG_10010@509,UMAG_10010,Usma_0042
p3_t237631_Ust_maydi_v2GB@UMAG_00036@418,UMAG_00036,Usma_0043
p3_t237631_Ust_maydi_v2GB@UMAG_00037@435,UMAG_00037,Usma_0044
p3_t237631_Ust_maydi_v2GB@UMAG_00038@261,UMAG_00038,Usma_0045
p3_t237631_Ust_maydi_v2GB@UMAG_00039@507,UMAG_00039,Usma_0046
p3_t237631_Ust_maydi_v2GB@UMAG_00040@683,UMAG_00040,Usma_0047
p3_t237631_Ust_maydi_v2GB@UMAG_00041@480,UMAG_00041,Usma_0048
p3_t237631_Ust_maydi_v2GB@UMAG_00042@789,UMAG_00042,Usma_0049
p3_t237631_Ust_maydi_v2GB@UMAG_00043@411,UMAG_00043,Usma_0050
p3_t237631_Ust_maydi_v2GB@UMAG_10011@342,UMAG_10011,Usma_0051
p3_t237631_Ust_maydi_v2GB@UMAG_00045@660,UMAG_00045,Usma_0052
p3_t237631_Ust_maydi_v2GB@UMAG_00046@871,UMAG_00046,Usma_0053
p3_t237631_Ust_maydi_v2GB@UMAG_00047@190,UMAG_00047,Usma_0054
p3_t237631_Ust_maydi_v2GB@UMAG_00048@870,UMAG_00048,Usma_0055
